bucket,classification_key,year,city,language,wardhaugh_classification,elements_books,elements_books_group,additional_content,primary_classes,secondary_classes,rich_claim_text_raw,rich_social_text_raw,metadata_elements_title_page_keys
sparse_or_low_social_elements,Naples_1679,1679,Naples,LATIN,COMMANDINO,1–6,books_1_6,,,,EUCLIDIS ELEMENTORUM LIBRI SEX | Ex traditione Fed- erici Commandini | EUCLIDIS ELEMENTORUM LIBRI SEX | EUCLIDIS,,Naples_1679
sparse_or_low_social_elements,Milan_1702,1702,Milan,ITALIAN,MAGNIENUS/GRACILIS and DASYPODIUS,1–6,books_1_6,,,,TRATTI | I PRIMI SEI LIBRI D’EVCLIDE | I PRIMI SEI LIBRI D’EVCLIDE | IN VOLGARE | EVCLIDE,,Milan_1702
procedural_pedagogical_elements,Amsterdam_1616,1616,Amsterdam,DUTCH,DOU,1–6,books_1_6,,Practical Geometry | Theoretical Mathematics,,"ghevoecht | Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert | van alle leergierighe, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien, ende verbetert | der stadt Leyden Landtmeter ende Wijnroeyer | De ses eerste Boucken EVCLIDIS | eenighe nut-ticheden, uyt de selve Boecken ghetrocken | Specien in Geometrische figueren | bygevouchde nutticheden mette spetien in Geometrische figueren | EVCLIDIS","van alle leergierighe, liefhebbers der selver vryer Conste | der stadt Leyden Landtmeter ende Wijnroeyer",Amsterdam_1616
procedural_pedagogical_elements,Rotterdam_1647,1647,Rotterdam,DUTCH,DOU,1–6,books_1_6,,,Practical Geometry,"bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | breeder verklaert | bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | alle leergierige liefhebbers der selver vrye Konste | De ses eerste Boecken EUCLIDIS | Van de beginselen ende fonda-menten der Geometrie | Waer bygevoeght zijn eenige nuttigheden | Van nieus oversien ende verbetert | der stadt Leyden Lant-meter ende Wijnroyer | De ses eerste Boecken EUCLIDIS | eenige nuttigheden, uyt de selve Boecken getrocken | de Specien in Geometrische figuren, als ’tmaken, veranderen, t’samenvoegen, aftrecken, ver-menigvuldigen ende deelen | de bygevoegde nuttigheden, met de specien in Geometrische figuren | eenige nuttigheden, uyt de selve Boecken getrocken | Specien in Geometrische figuren | bygevoegde nuttigheden, met de specien in Geometrische figuren | EUCLIDIS",alle leergierige liefhebbers der selver vrye Konste | der stadt Leyden Lant-meter ende Wijnroyer,Rotterdam_1647 | Utrecht_1647
procedural_pedagogical_elements,Amsterdam_1626,1626,Amsterdam,DUTCH,DOU,1–6,books_1_6,,,Practical Geometry,"ghevoecht | Overgheset | verclaert | uytgheleyt | over-sien | verbetert | vermeerdert | alle leergierighe liefhebbers der selver vryer Conste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus over-sien, ende verbetert | der stadt Leyden Landtmeter ende Wijnroeyer | De ses eerste Boecken EVCLIDIS | Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen | Mitsgaders de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur | EVCLIDIS",alle leergierighe liefhebbers der selver vryer Conste | der stadt Leyden Landtmeter ende Wijnroeyer,Amsterdam_1626
procedural_pedagogical_elements,Rotterdam_1632,1632,Rotterdam,DUTCH,DOU,1–6,books_1_6,,Practical Geometry,,ghevoeght | Overgheset | verk-laert | uytgheleyt | oversien | verbetert | byghevoeghde | verklaert | vermeerdert | van alle leergierighe lief hebbers der selver vryer Konste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien ende verbetert | der stadt Leyden Lant-meter ende Wijnroeyer | De ses eerste Boecken EVCLIDIS | eenighe nut-tigheden | Specien in Geometrische figueren | byghevoeghde nut-tigheden | EVCLIDIS,van alle leergierighe lief hebbers der selver vryer Konste | der stadt Leyden Lant-meter ende Wijnroeyer,Rotterdam_1632
procedural_pedagogical_elements,Leiden_1607,1607,Leiden,DUTCH,DOU,1–6,books_1_6,,Practical Geometry,,"gevoecht | Overgheset | verclaert | uytgheleyt | alle leergierige, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fonda-menten der Geometri | der stadt Leyden Lantmeter ende Wijnroeyer | De ses eerste Boucken EVCLIDIS | by gevoecht sijn eenige nutticheden, uyt de selve Boecken ghetrocken | Mitsgaders de Specien in Geometrische figuren, als ’tmaecken, veranderen, ’t samenvougen, aftrecken, ver-menichvuldigen, ende deelen | Overgheset, verclaert, ende uytgheleyt | EVCLIDIS","alle leergierige, liefhebbers der selver vryer Conste | der stadt Leyden Lantmeter ende Wijnroeyer",Leiden_1607
procedural_pedagogical_elements,Paris_1610,1610,Paris,FRENCH,MAGNIENUS/GRACILIS and DASYPODIUS,1-15,near_complete_or_expanded,,Theoretical Mathematics,,"Traduits | restitués | adioustez | TRADVITS | RESTITVEZ | Reueuë | augmentée | adioustez | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES MEGARIEN | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES | ancienne breueté, selon l’ordre de Theon | SECONDE EDITION | Docteur és Droicts, & Professeur en la diuine Mathematique aux Academies du Roy | l’Autheur | Theon | Ipsicles Alexandrien | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES MEGARIEN | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES | les quatorze & quinziesme d’Ipsicles Alexandrien | les quatorze & quinziesme d’Ipsicles Alexandrien | Ipsicles Alexandrien | EVCLIDES MEGARIEN | MEGARIEN | EVCLIDES","Academies du Roy | Docteur és Droicts, & Professeur en la diuine Mathematique aux Academies du Roy | l’Autheur | Theon | Ipsicles Alexandrien",Paris_1610 | Paris_1613
procedural_pedagogical_elements,Oxford_London_1700,1700,"Oxford, London",ENGLISH,CLAVIUS,"1–6, 11–12",books_1_6_plus_solids,,,,"Explain’d | Written in French | Now made English | Errors Corrected | THE ELEMENTS OF EUCLID | Explain’d, In a New, but most Easie Method: Together with The Use of every Proposition through all parts of the Mathematicks | The Third Edition | Now made English, and a multitude of Errors Corrected, which had escap’d in the Original | that Excellent Mathematician | of the Society of JESUS | THE ELEMENTS OF EUCLID | Together with The Use of every Proposition through all parts of the Mathematicks | French | English | EUCLID",Society of JESUS | that Excellent Mathematician | of the Society of JESUS,Oxford_London_1700
procedural_pedagogical_elements,Livorno_1709,1709,Livorno,LATIN,,1-6,books_1_6,,Theoretical Mathematics,,"REFORMATUS | exponuntur | demonstrantur | EUCLIDES REFORMATUS, SIVE PLANA, ET SOLIDA GEOMETRIÆ ELEM ENTA OPUS | In quo tum alia pleraque, cum præcipuè Rationis, & Proportionis Natura, & proprietates Nova Methodo Clarius, quam antea ab aliis, atque facilius exponuntur, firmiusque, ac evidentius demonstrantur | REFORMATUS | REGIÆ CELSITUDINIS FERDINANDI HETRURIÆ PRINCIPIS MATHEMATICO | Ac in Alma Pisana UNIVERSITATE Scientiarum Mechanicarum Professore | EUCLIDES REFORMATUS, SIVE PLANA, ET SOLIDA GEOMETRIÆ ELEM ENTA OPUS | EUCLIDES",Alma Pisana UNIVERSITATE | REGIÆ CELSITUDINIS FERDINANDI HETRURIÆ PRINCIPIS MATHEMATICO | Ac in Alma Pisana UNIVERSITATE Scientiarum Mechanicarum Professore,Livorno_1709
procedural_pedagogical_elements,London_1789,1789,London,ENGLISH,,"1-6, 11-12",books_1_6_plus_solids,,Theoretical Mathematics,,"CONTAINING | ELEMENTS OF   GEOMETRY | CONTAINING THE PRINCIPAL PROPOSITIONS IN THE FIRST SIX, AND THE ELEVENTH AND TWELFTH BOOKS OF EUCLID | OF THE ROYAL MILITARY ACADEMY, WOOLWICH | ELEMENTS OF   GEOMETRY | WITH NOTES CRITICAL AND EXPLANATORY | EUCLID","THE ROYAL MILITARY ACADEMY, WOOLWICH | OF THE ROYAL MILITARY ACADEMY, WOOLWICH",London_1789
procedural_pedagogical_elements,Paris_1622,1622,Paris,"FRENCH, LATIN",COMMANDINO,1–15,near_complete_or_expanded,,,,"Traduicts | augmentez | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | Traduicts de Grec en François, et augmentez de plusieurs figures et demonstrations, auec la correction des erreurs commises es autres traductions | Professeur es Mathematiques | QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | plusieurs figures et demonstrations | la correction des erreurs commises es autres traductions | Grec | François | D’EVCLIDE",Professeur es Mathematiques | MONSEIGNEVR L’illustrissime & Reuerendissime Cardinal de la ROCHEFOVCAVLT,Paris_1622
procedural_pedagogical_elements,Paris_1632a,1632,Paris,FRENCH,COMMANDINO,1–15,near_complete_or_expanded,,,,Traduicts | augmentez | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | seconde edition | Professeur es Mathematiques | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | plusieurs figures et demonstrations | la correction des erreurs commises es autres traductions | Grec | François | D’EVCLIDE,Professeur es Mathematiques | MONSEIGNEVR L’illustrissime & Reuerendissime Cardinal de Lÿon,Paris_1632a
procedural_pedagogical_elements,Paris_1640,1640,Paris,FRENCH,,"10, ?",unknown_books,,Theoretical Mathematics,,"illustré | reduit | LE DIZIEME LIVRE D’EVCLIDE | illustré de nouueles demonstrations plus faciles & plus succinctes que les ordinaires, & reduit à 62. Propositions | STEVIN | LE DIZIEME LIVRE D’EVCLIDE | illustré de nouueles demonstrations plus faciles & plus succinctes que les ordinaires | AVEC VN DISCOURS DE LA MANIERE d’expliquer les sciences en François | TRAITE' DES QVANTITEZ INCOMENSVRABLES: OV SONT DECIDEes PLVSIEVRS belles Questions des Nombres Rationaus & Irrationaus | LES ERREVRS DE STEVIN refutées | TRAITE' DES QVANTITEZ INCOMENSVRABLES | LES ERREVRS DE STEVIN | François | EVCLIDE",Meßieurs de L’ACADEMIE FRANCOISE | STEVIN,Paris_1640
