author_canonical,geographic_reach_type,matched_edition_count,any_practical,majority_practical,practical_share,any_books_1_6_or_solids,majority_books_1_6_or_solids,books_1_6_or_solids_share,any_vernacular_non_latin,majority_vernacular_non_latin,vernacular_non_latin_share,any_small_format_8_or_smaller,majority_small_format_8_or_smaller,small_format_8_or_smaller_share,any_large_format_folio_quarto,majority_large_format_folio_quarto,large_format_folio_quarto_share,any_institution,majority_institution,institution_share,any_jesuit,majority_jesuit,jesuit_share,any_pedagogy_access,majority_pedagogy_access,pedagogy_access_share,any_method_order,majority_method_order,method_order_share,any_augmentation,majority_augmentation,augmentation_share,any_restoration_ancient,majority_restoration_ancient,restoration_ancient_share,any_correction,majority_correction,correction_share,any_visual_aids,majority_visual_aids,visual_aids_share
"Henry Billingsley, John Dee",single_city,1,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Henry Briggs,single_city,1,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Honoré Fabri,single_city,1,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0
Ignazio Danti,single_city,1,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Jacobo Kresa,single_city,1,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Jacques Lefèvre d'Étaples,single_city,1,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0
"Jacques Peletier, Jean de Tournes",single_city,1,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0
Jacques Rohault,single_city,1,False,False,0.0,True,True,1.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0
"Jacques Rohault, Claude Clerselier",single_city,1,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0
Jacques-Alexandre Le Tenneur,single_city,1,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0
Jean Prestet,single_city,1,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0
"Joachim Kammermeister, Georg Joachim Rhäticus",single_city,1,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
